2022-04-28 20:16:54,434 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 20:16:54,435 [db.exist.scheduler.quartz-worker-3] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 20:16:54,436 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 20:16:54,437 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 20:16:54,439 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 20:16:54,440 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 20:27:06,929 [db.exist.scheduler.quartz-worker-3] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 24,284K free 
2022-04-28 20:27:06,931 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 20:27:06,932 [db.exist.scheduler.quartz-worker-3] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 20:27:06,934 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 20:27:06,935 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 20:27:06,936 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 20:27:06,938 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 20:37:19,430 [db.exist.scheduler.quartz-worker-3] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 72,159K free 
2022-04-28 20:37:19,432 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 20:37:19,433 [db.exist.scheduler.quartz-worker-3] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 20:37:19,434 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 20:37:19,435 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 20:37:19,436 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 20:37:19,437 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 20:47:31,932 [db.exist.scheduler.quartz-worker-2] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 52,069K free 
2022-04-28 20:47:31,934 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 20:47:31,935 [db.exist.scheduler.quartz-worker-2] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 20:47:31,936 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 20:47:31,937 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 20:47:31,939 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 20:47:31,940 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 20:57:41,930 [db.exist.scheduler.quartz-worker-3] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 31,671K free 
2022-04-28 20:57:41,931 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 20:57:41,933 [db.exist.scheduler.quartz-worker-3] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 20:57:41,934 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 20:57:41,935 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 20:57:41,936 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 20:57:41,937 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 21:07:54,431 [db.exist.scheduler.quartz-worker-2] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 67,074K free 
2022-04-28 21:07:54,432 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 21:07:54,434 [db.exist.scheduler.quartz-worker-2] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 21:07:54,435 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 21:07:54,437 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 21:07:54,439 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 21:07:54,440 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 21:18:06,927 [db.exist.scheduler.quartz-worker-2] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 47,003K free 
2022-04-28 21:18:06,929 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 21:18:06,930 [db.exist.scheduler.quartz-worker-2] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 21:18:06,931 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 21:18:06,933 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 21:18:06,934 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 21:18:06,935 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 21:28:19,431 [db.exist.scheduler.quartz-worker-2] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 26,993K free 
2022-04-28 21:28:19,432 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 21:28:19,434 [db.exist.scheduler.quartz-worker-2] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 21:28:19,435 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 21:28:19,436 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 21:28:19,437 [db.exist.scheduler.quartz-worker-2] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 21:28:19,438 [db.exist.scheduler.quartz-worker-2] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 21:38:29,432 [db.exist.scheduler.quartz-worker-3] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 69,801K free 
2022-04-28 21:38:29,434 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 21:38:29,436 [db.exist.scheduler.quartz-worker-3] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 21:38:29,437 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 21:38:29,438 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 21:38:29,439 [db.exist.scheduler.quartz-worker-3] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
2022-04-28 21:38:29,440 [db.exist.scheduler.quartz-worker-3] INFO  (BFile.java [printStatistics]:406) - values.dbx DATA Buffers occupation : 5% (3 out of 64) Cache efficiency : 100% 
2022-04-28 21:48:39,429 [db.exist.scheduler.quartz-worker-1] INFO  (NativeBroker.java [sync]:3745) - Memory: 159,744K total; 3,022,848K max; 49,902K free 
2022-04-28 21:48:39,430 [db.exist.scheduler.quartz-worker-1] INFO  (BTree.java [printStatistics]:2660) - dom.dbx INDEX Buffers occupation : 100% (64 out of 64) Cache efficiency : 100% 
2022-04-28 21:48:39,431 [db.exist.scheduler.quartz-worker-1] INFO  (DOMFile.java [printStatistics]:1414) - dom.dbx DATA Buffers occupation : 100% (255 out of 256) Cache efficiency : 100% 
2022-04-28 21:48:39,432 [db.exist.scheduler.quartz-worker-1] INFO  (BTree.java [printStatistics]:2660) - collections.dbx INDEX Buffers occupation : 30% (19 out of 64) Cache efficiency : 100% 
2022-04-28 21:48:39,434 [db.exist.scheduler.quartz-worker-1] INFO  (BFile.java [printStatistics]:406) - collections.dbx DATA Buffers occupation : 61% (39 out of 64) Cache efficiency : 100% 
2022-04-28 21:48:39,435 [db.exist.scheduler.quartz-worker-1] INFO  (BTree.java [printStatistics]:2660) - values.dbx INDEX Buffers occupation : 9% (6 out of 64) Cache efficiency : 100% 
